,Game_ID,Home_or_Away,Result,Panthers_Goals,Opponent_Goals,Panthers_PIM,Panthers_Shots,Panthers_Power_Play_%,Panthers_Power_Play_Goals,Panthers_Power_Play_Opportunities,Panthers_FOW%,Panthers_Blocked_Shots,Panthers_Takeaways,Panthers_Giveaways,Panthers_Hits,Opponent_PIM,Opponent_Shots,Opponent_Power_Play_%,Opponent_Power_Play_Goals,Opponent_Power_Play_Opportunities,Opponent_FOW%,Opponent_Blocked_Shots,Opponent_Takeaways,Opponent_Giveaways,Opponent_Hits
166,2015021086,Away,Loss,2,4,8,27,100.0,1.0,1.0,37.5,11,5,7,19,6,32,50.0,1.0,2.0,62.5,15,13,16,17
167,2015021101,Away,Win,4,1,8,36,0.0,0.0,4.0,52.6,15,5,1,19,8,35,0.0,0.0,4.0,47.4,11,6,15,19
168,2015021122,Away,Win,5,2,12,27,25.0,1.0,4.0,52.6,14,5,8,22,10,35,40.0,2.0,5.0,47.4,11,4,12,22
169,2015021144,Home,Loss,2,5,10,34,0.0,0.0,3.0,53.3,7,9,18,14,8,29,75.0,3.0,4.0,46.7,4,12,5,10
170,2015021157,Home,Win,3,2,12,40,0.0,0.0,4.0,61.8,5,5,12,17,8,25,16.7,1.0,6.0,38.2,16,5,6,21
171,2015021172,Home,Win,4,3,2,39,50.0,1.0,2.0,52.9,7,14,9,20,4,28,0.0,0.0,1.0,47.1,8,10,9,20
172,2015021185,Away,Win,4,3,4,36,0.0,0.0,5.0,60.5,7,14,6,24,10,26,50.0,1.0,2.0,39.5,17,13,5,24
173,2015021192,Away,Win,4,1,12,19,40.0,2.0,5.0,54.2,15,6,16,10,10,33,16.7,1.0,6.0,45.8,8,8,13,18
174,2015021208,Away,Loss,1,3,6,34,0.0,0.0,1.0,38.3,10,4,8,23,4,23,50.0,1.0,2.0,61.7,19,1,4,22
175,2015021221,Home,Win,5,2,6,21,0.0,0.0,2.0,38.6,7,8,14,12,6,28,50.0,1.0,2.0,61.4,6,8,14,8
176,2015030111,Home,Loss,4,5,6,46,33.3,1.0,3.0,48.5,9,4,8,39,8,26,50.0,1.0,2.0,51.5,18,2,10,40
177,2015030112,Home,Win,3,1,12,31,0.0,0.0,1.0,57.1,12,7,13,22,8,42,0.0,0.0,3.0,42.9,8,6,9,32
178,2015030113,Away,OT Loss,3,4,10,39,0.0,0.0,3.0,43.7,14,6,17,40,8,39,50.0,2.0,4.0,56.3,17,15,24,48
179,2015030114,Away,Win,2,1,8,29,25.0,1.0,4.0,40.7,10,14,7,32,8,27,25.0,1.0,4.0,59.3,22,7,10,28
180,2015030115,Home,OT Loss,1,2,10,48,0.0,0.0,1.0,54.7,14,19,16,34,2,42,20.0,1.0,5.0,45.3,27,18,24,65
181,2015030116,Away,OT Loss,1,2,6,42,0.0,0.0,3.0,45.8,23,18,24,41,6,51,0.0,0.0,3.0,54.2,18,9,29,45
182,2016010018,Home,Win,4,1,14,23,0.0,0.0,3.0,50.0,8,5,3,10,6,37,14.3,1.0,7.0,50.0,7,4,3,15
183,2016010019,Home,Loss,1,2,8,19,0.0,0.0,5.0,44.4,3,3,2,8,10,22,25.0,1.0,4.0,55.6,6,5,2,12
184,2016010036,Away,Loss,0,2,10,21,0.0,0.0,6.0,40.4,9,8,5,21,12,28,0.0,0.0,5.0,59.6,12,9,10,18
185,2016010060,Home,OT Loss,1,2,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
186,2016010072,Away,OT Loss,1,2,10,28,0.0,0.0,3.0,50.0,20,9,9,17,6,35,20.0,1.0,5.0,50.0,16,12,6,17
187,2016010099,Home,Win,4,2,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0
188,2016020010,Home,Win,2,1,14,34,0.0,0.0,3.0,53.6,4,10,13,20,16,24,0.0,0.0,2.0,46.4,16,8,15,18
189,2016020020,Home,Win,4,1,6,38,0.0,0.0,2.0,44.9,15,16,15,14,6,22,0.0,0.0,2.0,55.1,8,5,6,11
190,2016020042,Away,OT Loss,3,4,8,31,0.0,0.0,3.0,53.1,7,11,5,19,8,28,0.0,0.0,3.0,46.9,7,8,11,15
191,2016020056,Home,Loss,2,4,2,28,25.0,1.0,4.0,56.4,8,16,5,14,8,29,0.0,0.0,1.0,43.6,14,4,2,17
192,2016020068,Home,Win,5,2,11,38,16.7,1.0,6.0,50.8,4,7,7,16,17,28,33.3,1.0,3.0,49.2,8,5,12,21
193,2016020086,Away,Loss,2,3,4,22,25.0,1.0,4.0,52.8,20,5,3,27,8,22,50.0,1.0,2.0,47.2,20,5,3,27
194,2016020101,Away,Loss,2,3,6,31,33.3,1.0,3.0,47.4,13,17,12,29,8,28,0.0,0.0,2.0,52.6,14,11,9,19
195,2016020113,Away,Loss,0,3,8,33,0.0,0.0,4.0,44.8,5,2,9,10,8,25,50.0,2.0,4.0,55.2,9,3,1,9
196,2016020124,Away,Win,5,2,10,24,25.0,1.0,4.0,35.6,12,2,8,26,8,36,40.0,2.0,5.0,64.4,5,4,9,17
197,2016020136,Home,Loss,1,2,20,34,0.0,0.0,7.0,44.9,9,13,9,14,26,26,0.0,0.0,3.0,55.1,20,11,4,16
198,2016020152,Home,Win,4,3,10,31,66.7,2.0,3.0,50.0,8,11,6,17,8,34,25.0,1.0,4.0,50.0,11,2,7,13
199,2016020168,Away,Loss,2,4,8,24,50.0,1.0,2.0,44.8,15,10,12,11,4,36,0.0,0.0,4.0,55.2,7,9,17,17
200,2016020182,Home,Win,3,1,6,32,33.3,1.0,3.0,53.3,9,12,9,18,8,35,0.0,0.0,2.0,46.7,16,6,5,24
201,2016020202,Home,Loss,2,4,4,24,0.0,0.0,1.0,43.1,11,4,6,25,2,29,0.0,0.0,2.0,56.9,12,6,10,16
202,2016020214,Home,Win,3,2,14,43,0.0,0.0,5.0,59.0,11,5,5,23,12,21,16.7,1.0,6.0,41.0,27,6,5,31
203,2016020234,Away,Win,4,3,6,24,0.0,0.0,3.0,48.3,17,12,10,25,6,37,33.3,1.0,3.0,51.7,13,7,13,25
204,2016020247,Away,Loss,1,6,8,27,0.0,0.0,4.0,50.9,7,4,11,35,8,30,0.0,0.0,4.0,49.1,18,9,14,19
205,2016020265,Away,Win,4,1,4,23,0.0,0.0,0.0,41.0,29,7,10,25,0,40,0.0,0.0,2.0,59.0,11,6,11,28
206,2016020272,Away,Win,3,2,6,30,25.0,1.0,4.0,51.4,8,7,7,26,8,35,0.0,0.0,3.0,48.6,21,14,12,25
207,2016020286,Home,Loss,1,3,6,39,0.0,0.0,4.0,48.3,4,4,12,19,10,28,100.0,2.0,2.0,51.7,12,0,3,17
208,2016020316,Home,Win,2,1,4,23,0.0,0.0,2.0,56.5,13,9,10,16,4,37,0.0,0.0,2.0,43.5,21,7,7,21
209,2016020324,Away,Loss,2,3,6,33,25.0,1.0,4.0,53.1,10,9,8,14,8,27,33.3,1.0,3.0,46.9,21,12,8,23
210,2016020336,Away,OT Loss,1,2,4,39,33.3,1.0,3.0,47.3,14,8,12,36,6,33,0.0,0.0,2.0,52.7,18,13,15,20
211,2016020350,Away,Win,2,1,8,30,0.0,0.0,6.0,45.3,7,2,6,24,12,21,0.0,0.0,4.0,54.7,15,4,10,24
212,2016020363,Away,Loss,0,2,16,24,0.0,0.0,4.0,51.7,7,8,7,27,10,21,0.0,0.0,7.0,48.3,23,7,11,28
213,2016020378,Away,OT Loss,3,4,6,30,0.0,0.0,3.0,39.0,13,11,13,31,6,36,0.0,0.0,3.0,61.0,14,7,10,19
214,2016020385,Away,OT Loss,2,3,10,44,0.0,0.0,2.0,44.8,16,9,13,34,6,25,25.0,1.0,4.0,55.2,20,10,12,28
215,2016020400,Home,Loss,1,5,8,29,33.3,1.0,3.0,50.0,10,8,13,21,8,30,0.0,0.0,3.0,50.0,17,5,4,7
216,2016020416,Home,Win,4,2,8,42,0.0,0.0,2.0,49.3,10,6,7,20,4,39,25.0,1.0,4.0,50.7,7,9,5,15
217,2016020438,Away,Loss,1,5,14,30,0.0,0.0,5.0,50.0,12,3,4,16,20,22,0.0,0.0,1.0,50.0,17,12,1,13
218,2016020451,Away,OT Loss,3,4,10,44,100.0,3.0,3.0,43.1,9,2,15,9,12,32,0.0,0.0,2.0,56.9,9,7,15,14
219,2016020457,Away,Win,3,1,14,23,0.0,0.0,2.0,27.1,11,13,1,16,6,31,0.0,0.0,6.0,72.9,9,10,3,20
220,2016020487,Home,Win,4,3,13,39,25.0,1.0,4.0,53.0,10,10,8,19,15,36,33.3,1.0,3.0,47.0,10,7,7,14
221,2016020501,Home,Loss,1,3,6,30,0.0,0.0,3.0,43.9,15,8,12,21,6,33,33.3,1.0,3.0,56.1,13,8,6,12
222,2016020510,Home,OT Loss,3,4,10,34,16.7,1.0,6.0,38.4,12,12,11,17,12,39,0.0,0.0,5.0,61.6,12,8,16,17
223,2016020527,Home,OT Loss,2,3,10,47,0.0,0.0,4.0,61.8,11,11,8,25,12,40,33.3,1.0,3.0,38.2,11,6,2,15
224,2016020536,Home,OT Loss,2,3,9,33,33.3,1.0,3.0,48.6,11,11,24,20,11,41,50.0,1.0,2.0,51.4,13,8,9,8
225,2016020554,Away,Win,3,1,8,38,100.0,2.0,2.0,54.8,26,5,8,20,4,36,25.0,1.0,4.0,45.2,8,4,9,21
226,2016020572,Home,Loss,1,4,4,32,0.0,0.0,4.0,56.4,9,5,12,24,10,39,0.0,0.0,1.0,43.6,13,9,7,13
227,2016020585,Home,Win,2,1,34,34,0.0,0.0,4.0,58.3,7,2,10,16,22,29,0.0,0.0,5.0,41.7,6,0,3,19
228,2016020596,Home,Loss,0,4,14,25,0.0,0.0,3.0,39.1,14,6,8,24,8,37,16.7,1.0,6.0,60.9,13,3,10,14
229,2016020609,Away,Win,3,0,6,29,16.7,1.0,6.0,48.9,3,4,4,19,13,28,0.0,0.0,2.0,51.1,9,5,5,16
230,2016020620,Away,Win,2,1,2,24,0.0,0.0,1.0,42.6,19,11,13,20,4,30,0.0,0.0,0.0,57.4,19,2,7,28
231,2016020636,Home,Loss,2,5,21,29,33.3,1.0,3.0,34.4,11,8,7,26,15,42,0.0,0.0,6.0,65.6,10,3,7,22
232,2016020645,Home,Win,4,3,10,32,0.0,0.0,3.0,58.1,13,9,15,16,10,33,33.3,1.0,3.0,41.9,10,6,8,9
233,2016020669,Away,Loss,2,5,8,22,0.0,0.0,4.0,48.0,16,9,9,14,8,29,50.0,2.0,4.0,52.0,12,12,11,7
234,2016020675,Away,OT Loss,3,4,4,31,50.0,1.0,2.0,50.0,15,12,16,25,4,31,50.0,1.0,2.0,50.0,20,15,23,18
235,2016020690,Away,Loss,1,2,2,35,33.3,1.0,3.0,52.5,16,9,3,20,6,32,0.0,0.0,1.0,47.5,19,10,4,20
236,2016020713,Away,OT Loss,2,3,6,25,0.0,0.0,2.0,38.7,13,7,15,13,4,42,0.0,0.0,3.0,61.3,19,4,9,26
237,2016020734,Home,Win,2,1,15,37,33.3,1.0,3.0,50.0,13,9,13,29,13,32,25.0,1.0,4.0,50.0,7,4,7,16
238,2016020748,Home,Win,6,5,16,34,0.0,0.0,3.0,44.8,8,8,4,20,14,41,0.0,0.0,4.0,55.2,9,6,7,13
239,2016020768,Home,Win,2,1,13,37,0.0,0.0,5.0,48.3,13,3,7,26,17,23,0.0,0.0,3.0,51.7,8,5,11,26
240,2016020810,Home,Loss,3,6,20,39,0.0,0.0,4.0,63.1,6,7,8,28,12,26,33.3,1.0,3.0,36.9,6,8,5,20
241,2016020818,Away,Win,7,4,22,37,33.3,2.0,6.0,48.2,15,9,7,16,26,31,25.0,1.0,4.0,51.8,8,8,11,14
242,2016020846,Away,Win,6,5,6,22,0.0,0.0,2.0,43.5,17,12,21,23,4,36,0.0,0.0,3.0,56.5,15,13,28,10
243,2016020857,Away,Win,4,1,8,31,33.3,1.0,3.0,27.5,9,4,5,15,8,36,0.0,0.0,3.0,72.5,12,4,9,22
244,2016020868,Away,Win,3,2,6,25,0.0,0.0,2.0,48.1,10,2,14,27,4,35,0.0,0.0,3.0,51.9,16,3,12,25
245,2016020880,Away,Win,2,1,4,33,0.0,0.0,1.0,45.9,10,9,3,15,2,27,0.0,0.0,2.0,54.1,11,5,4,16
246,2016020891,Home,Loss,3,4,4,34,100.0,2.0,2.0,52.2,7,5,9,21,6,35,0.0,0.0,1.0,47.8,8,9,5,21
247,2016020901,Home,Loss,2,4,4,38,33.3,1.0,3.0,43.6,4,7,7,16,8,28,0.0,0.0,1.0,56.4,15,9,5,15
248,2016020916,Home,Loss,1,2,33,38,20.0,1.0,5.0,50.0,6,12,13,21,29,33,0.0,0.0,2.0,50.0,19,5,8,23
249,2016020927,Home,Win,3,2,4,31,50.0,1.0,2.0,47.2,12,12,17,25,6,25,0.0,0.0,1.0,52.8,7,8,5,23
250,2016020938,Away,OT Loss,1,2,12,40,0.0,0.0,2.0,52.5,15,7,11,27,8,49,0.0,0.0,4.0,47.5,12,12,16,29
251,2016020955,Home,Loss,1,2,6,42,33.3,1.0,3.0,53.4,14,10,12,19,6,34,0.0,0.0,3.0,46.6,7,7,11,11
252,2016020976,Home,Loss,2,5,8,45,20.0,1.0,5.0,38.6,7,5,11,21,10,28,0.0,0.0,4.0,61.4,15,8,3,19
253,2016020997,Home,Loss,4,7,8,40,50.0,1.0,2.0,42.3,16,9,21,23,6,46,0.0,0.0,3.0,57.7,11,6,5,16
254,2016021003,Away,Loss,2,3,42,34,0.0,0.0,3.0,51.5,10,3,9,23,20,34,25.0,1.0,4.0,48.5,10,13,8,18
255,2016021029,Home,Win,7,2,12,32,20.0,1.0,5.0,54.1,12,4,9,19,14,30,25.0,1.0,4.0,45.9,9,7,8,17
256,2016021041,Away,Loss,1,2,6,34,0.0,0.0,2.0,38.2,8,2,2,9,4,34,0.0,0.0,3.0,61.8,14,4,5,10
257,2016021049,Away,Win,4,3,10,37,50.0,1.0,2.0,36.1,17,10,8,16,8,32,33.3,1.0,3.0,63.9,15,8,4,17
258,2016021064,Away,Loss,0,4,12,21,0.0,0.0,4.0,54.7,10,5,4,26,12,28,0.0,0.0,4.0,45.3,19,10,8,22
259,2016021081,Home,Loss,3,4,6,35,0.0,0.0,3.0,48.0,10,8,11,19,10,25,100.0,1.0,1.0,52.0,14,6,9,22
260,2016021094,Home,Win,3,1,0,39,0.0,0.0,0.0,45.2,6,13,8,20,0,23,0.0,0.0,0.0,54.8,10,9,11,19
261,2016021109,Home,Win,7,0,30,31,20.0,1.0,5.0,43.9,10,9,13,15,34,25,0.0,0.0,3.0,56.1,12,3,12,15
262,2016021122,Away,Loss,2,4,11,32,33.3,1.0,3.0,58.9,10,3,4,9,11,32,66.7,2.0,3.0,41.1,9,4,14,22
263,2016021131,Away,Loss,2,3,18,27,25.0,1.0,4.0,43.1,15,8,8,30,18,25,0.0,0.0,4.0,56.9,13,14,20,18
264,2016021144,Away,Loss,2,6,6,31,0.0,0.0,3.0,43.5,18,7,11,27,20,33,0.0,0.0,1.0,56.5,17,6,23,19
265,2016021157,Away,Loss,2,5,8,26,25.0,1.0,4.0,57.4,6,12,16,21,8,29,25.0,1.0,4.0,42.6,12,7,10,16
266,2016021178,Home,Loss,1,4,9,32,0.0,0.0,2.0,50.0,9,5,6,15,9,31,0.0,0.0,2.0,50.0,5,4,12,18
267,2016021199,Home,Loss,3,6,8,32,0.0,0.0,2.0,42.1,8,10,12,13,4,38,50.0,2.0,4.0,57.9,12,10,3,9
268,2016021213,Home,Win,3,0,4,37,25.0,1.0,4.0,50.9,8,11,7,12,8,30,0.0,0.0,2.0,49.1,6,6,10,15
269,2016021228,Away,Win,2,0,6,21,100.0,1.0,1.0,62.2,11,1,9,3,4,38,0.0,0.0,2.0,37.8,11,9,7,5
270,2017010017,Away,Win,5,3,21,28,50.0,2.0,4.0,57.4,18,5,4,12,13,34,12.5,1.0,8.0,42.6,11,5,10,15
271,2017010018,Away,OT Loss,2,3,8,26,22.2,2.0,9.0,47.4,15,4,5,6,18,19,0.0,0.0,4.0,52.6,10,2,4,17
272,2017010059,Away,Win,4,2,16,28,20.0,1.0,5.0,55.4,7,8,6,20,10,29,0.0,0.0,8.0,44.6,17,3,5,17
